15,775,27.83882181
30,479,21.88606863
45,380,19.49358869
60,302,17.3781472
75,185,13.60147051
90,157,12.52996409
105,137,11.70469991
120,119,10.90871211
135,119,10.90871211
150,89,9.433981132
165,74,8.602325267
180,61,7.810249676
195,66,8.124038405
210,68,8.246211251
225,48,6.92820323
240,54,7.348469228
255,51,7.141428429
270,46,6.782329983
285,55,7.416198487
300,29,5.385164807
315,28,5.291502622
330,37,6.08276253
345,49,7
360,26,5.099019514
375,35,5.916079783
390,29,5.385164807
405,31,5.567764363
420,24,4.898979486
435,25,5
450,35,5.916079783
465,24,4.898979486
480,30,5.477225575
495,26,5.099019514
510,28,5.291502622
525,21,4.582575695
540,18,4.242640687
555,20,4.472135955
570,27,5.196152423
585,17,4.123105626
600,17,4.123105626
615,14,3.741657387
630,17,4.123105626
645,24,4.898979486
660,11,3.31662479
675,22,4.69041576
690,17,4.123105626
705,12,3.464101615
720,10,3.16227766
735,13,3.605551275
750,16,4
765,9,3
780,9,3
795,14,3.741657387
810,21,4.582575695
825,17,4.123105626
840,13,3.605551275
855,12,3.464101615
870,18,4.242640687
885,10,3.16227766
